"region","depot","item_no","tms","ams","month","year"
"SW","ADO EKITI","10980611",5.303,2.6515,11,2022
"SW","ADO EKITI","10980611",4.53714285714286,2.26857142857143,12,2022
"SW","ADO EKITI","10983534",0.19,0.095,1,2022
"SW","ADO EKITI","10983534",0.14,0.07,2,2022
"SW","ADO EKITI","10983534",0.10258064516129,0.0512903225806452,3,2022
"SW","ADO EKITI","10983534",0.0473333333333333,0.0236666666666667,4,2022
"SW","ADO EKITI","10983534",0.00516129032258065,0.00258064516129032,5,2022
"SW","ADO EKITI","10983534",0,0,6,2022
"SW","ADO EKITI","10983534",0,0,7,2022
"SW","ADO EKITI","10983534",0,0,8,2022
"SW","ADO EKITI","10983534",0,0,9,2022
"SW","ADO EKITI","10983534",0,0,10,2022
"SW","ADO EKITI","10983534",0,0,11,2022
"SW","ADO EKITI","10983534",0,0,12,2022
"SW","ADO EKITI","113441",246.1472,123.0736,1,2022
"SW","ADO EKITI","113441",166.805571428571,83.4027857142857,2,2022
"SW","ADO EKITI","113441",78.9058064516129,39.4529032258065,3,2022
"SW","ADO EKITI","113441",203.571933333333,101.785966666667,4,2022
"SW","ADO EKITI","113441",261.355419354839,130.677709677419,5,2022
"SW","ADO EKITI","113441",146.7886,73.3943,6,2022
"SW","ADO EKITI","113441",98.7129032258064,49.3564516129032,7,2022
"SW","ADO EKITI","113441",132.625419354839,66.3127096774193,8,2022
"SW","ADO EKITI","113441",171.501733333333,85.7508666666667,9,2022
"SW","ADO EKITI","113441",238.92464516129,119.462322580645,10,2022
"SW","ADO EKITI","113441",221.050733333333,110.525366666667,11,2022
"SW","ADO EKITI","113441",188.194666666667,94.0973333333333,12,2022
"SW","ADO EKITI","BHF20HLK",841.1662,420.5831,1,2022
"SW","ADO EKITI","BHF20HLK",638.765428571429,319.382714285714,2,2022
"SW","ADO EKITI","BHF20HLK",180.856516129032,90.4282580645161,3,2022
"SW","ADO EKITI","BHF20HLK",402.061733333333,201.030866666667,4,2022
"SW","ADO EKITI","BHF20HLK",454.874967741935,227.437483870968,5,2022
"SW","ADO EKITI","BHF20HLK",403.649933333333,201.824966666667,6,2022
"SW","ADO EKITI","BHF20HLK",446.140838709677,223.070419354839,7,2022
"SW","ADO EKITI","BHF20HLK",453.097870967742,226.548935483871,8,2022
"SW","ADO EKITI","BHF20HLK",464.070666666667,232.035333333333,9,2022
"SW","ADO EKITI","BHF20HLK",436.425677419355,218.212838709677,10,2022
"SW","ADO EKITI","BHF20HLK",416.828066666667,208.414033333333,11,2022
"SW","ADO EKITI","BHF20HLK",382.122666666667,191.061333333333,12,2022
"SW","ADO EKITI","D108881",6.298,3.149,1,2022
"SW","ADO EKITI","D108881",4.34071428571429,2.17035714285714,2,2022
